Ground Truth,Prediction
chiama emergenza,च्यवःद्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
cancella,cancella
cella,tela
scorri verso l alto, more detail
nove, yali
scorri verso il basso,chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata ch
apri,apri
chiamata,
no,nyap
sezione,tastigarena
zelo,zero
esci da rubrica,
raggiungi,ladyoonghi
cinque,si
indietro,india
tra,अः
bue,bueh
apri rubrica 1,apri rubrica 2
scesi,scesi
tastiera,
nave,nav!
vai nei preferiti,WANG TO THE LEGEND
cancella tutto,cancella tutto.
zelo,sali
uno, more
deseleziona,
apri,
apri rubrica 2,
vai nei preferiti,अःःःःःःःःःःःःःःःःःःःःःःःः
preferiti,
scendi,sali
sei,
scorri verso l alto,sukairo chinti
tastiera,
chiudi rubrica,tasturnavaijna
sette,
vai alla pagina principale, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiamata,
sopra,
nave,ःःः
indietro, more
esci da rubrica,
cancella,mata
aggiungi ai preferiti, ಎದ
bue, ಎದ
chiudi,term.
tra, ताःः
chiama,tasturna
muovi,tapu
apri rubrica 3,apriyaṃtiṃ
chiama emergenza,lava viviti
salva, तःदवःद
nuovo contatto,ņu eri jauktajai.
fai una telefonata,
vivavoce,tasturnavaijata
vai nella rubrica,
terminare,tastilevati
nove, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
sezione,
vai nel registro chiamate, ಎದ
sotto, ಎದ
due,tue
richiama, तद्देःःद
raggiungi,vairochi
sali, तःअएँएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएए
attiva vivavoce, अख़िएद्दिःदद
vai alla tastiera, ಎದ
rubrica,अःद्द
rimuovi,tastu
cinque,si
chiudi applicazione, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
scorri verso il basso,
cella,sette
tre,tastu
si,
stop, ಎದ
zero, ಎದ
chiama ultimo numero, yamapu vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva
top,
aggiungi, pachyan ki
quattro,
seleziona,
mali,अई
cancella tutto,च्यायाच्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्
disattiva vivavoce, more
no, n
cancella contatto, more
apri rubrica 1, अप्च्द्दिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदि
termina chiamata, तद्दिःःदःद
muto, right
scesi,
otto, काअच
cella, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiama ultimo numero, ಎದ
esci da rubrica, अप्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द
tastiera,tastiera
muto,muto rubrica 2 rubrica 2 rubrica 3 rubrica 2 rubrica 2 rubrica 3 rubrica 2 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica 3 rubrica
bue,ब्रच
otto,apapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapap
apri rubrica 3,अप्रद़ब्रिक
tra, ಎದ
fai una telefonata,वाईःद्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्
termina chiamata, ಎಎ
mali,lalai
chiamata,tasturnavaijata
deseleziona, ಎದ
vai alla tastiera, more of this
vai alla pagina principale,
quattro,अःअःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
indietro, nera
scendi,sali
terminare, lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala lalala l
nuovo contatto,vairope tahti
si,
zero,
cancella contatto, तबचदःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
sei, ಎದ
apri rubrica 2,apri rubrica 2
stop,
cancella,cancella
preferiti,
scesi, ಎದ
uno, more
scorri verso il basso, तद्ददददददददददददददददददददददददददददददददददददददददददददददददददददददददददद�
vivavoce, ಎಎ
chiudi,aggi
no,nolla.
chiama,ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
rubrica, ಎದ
chiudi rubrica,
rimuovi,
scorri verso l alto, ಎದ
sali,sali
aggiungi ai preferiti,
sopra,cancella
sette,suffice
cancella tutto, lankana uttap
seleziona,
sezione,ःच्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च
nove, nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama nama
richiama,अईःएःः
disattiva vivavoce,
vai nei preferiti, ಎದ
chiama emergenza, च्याएँँईद्याई
apri rubrica 1,apriya
aggiungi,anyu
cinque,
vai nel registro chiamate,vai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai
sotto,sotto
nave,navevi alla tastiera principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale
raggiungi,aggi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
attiva vivavoce,
vai nella rubrica, ಎದ
due,च्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
apri,apples
muovi, ಎಎ
top,
zelo,cancella contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto cont
tre, ಎದ
salva,च्द्दबःद
chiudi applicazione, you
nuovo contatto, ಎದ
scesi, ಎದ
vai alla pagina principale, तःएएप्च्छःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
stop,ali
bue,अलेःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
tra, ಎದ
cancella,mata
zero,tastu
sezione, ಎದ
raggiungi, ಎದ
vai nei preferiti, ಎದ
sali,sali
apri rubrica 3, अच्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च
vivavoce,aliya laksi
esci da rubrica,
chiudi rubrica, तृःद्ददददद
tastiera,tastier
sei,
otto,tastu
muto,ini
cella,tastu
chiama ultimo numero, yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw yaw
aggiungi ai preferiti, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
uno, ಎದ
fai una telefonata, ಎದ
vai nella rubrica, right
indietro, yiyu
vai nel registro chiamate,वाद्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्�
chiudi applicazione, ಎದ
chiamata,tasturapriya
apri rubrica 2,apri rubrica 2
cinque,anyong
chiama emergenza, yama hindi
mali,
seleziona, ಎದ
scorri verso il basso, more at the back
nave, Laf
sotto,tastattva
apri rubrica 1,apri rubrica 2
quattro, ಎದ
vai alla tastiera,vaiya vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
chiama,tela
preferiti,preferiti
salva,
no,ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiudi, ಎದ
cancella tutto,vai chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga tu chaga
zelo, ಎದ
apri, ಎದ
muovi,mali
nove,sali
terminare,अःद्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्
cancella contatto, now relax it
deseleziona,
termina chiamata, ಎದ
richiama, ಎದ
rimuovi,tai mai
rubrica, तूभभट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
due, here it is
sette,
sopra,sopra
disattiva vivavoce,
aggiungi,
attiva vivavoce, ಎದ
top,apriya
scorri verso l alto, ಎಎ
tre,saii
si,si
scendi,
vai nella rubrica, ಎದ
terminare,tasturnavaijata
aggiungi ai preferiti,aggiudi vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai
nuovo contatto, more more more
rimuovi,
rubrica,ali
tastiera,tastiera
sette,
nave,nour
chiama emergenza, yama negata
sopra,tastu
apri rubrica 3,apri rubrica 2
apri,
fai una telefonata,vaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivai
uno,अःःः
scendi,tastu
indietro,vai nella rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rub
zelo,ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
sei,si
chiamata,tastu nopata
sotto,Kentai
chiudi rubrica,
cancella, अईच्छाःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiudi applicazione, youviya ok
nove,yalla
quattro,s
salva,sava
preferiti, more saliti
attiva vivavoce, अच्छ्छ्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
tra,tastu
bue, more
muovi, wow
chiama, yalla
chiudi, yurve
vai nei preferiti, ಎದ
